159, 151, -0.08, 0.00, 4111

161, 151, 0.04, 0.00, 4160

163, 154, 0.04, 0.06, 4208

170, 153, 0.14, -0.02, 4257

179, 144, 0.19, -0.19, 4305

186, 129, 0.14, -0.30, 4355

190, 109, 0.08, -0.42, 4403

193, 102, 0.06, -0.14, 4452

194, 96, 0.02, -0.13, 4500

194, 94, 0.00, -0.04, 4549

194, 94, 0.00, 0.00, 4597

192, 112, -0.04, 0.37, 4646

191, 135, -0.02, 0.46, 4696

192, 154, 0.02, 0.40, 4744

194, 165, 0.04, 0.22, 4793

196, 165, 0.04, 0.00, 4841

198, 167, 0.04, 0.04, 4890

203, 167, 0.10, 0.00, 4939

212, 166, 0.19, -0.02, 4987

212, 166, 0.00, 0.00, 5037

237, 144, 0.26, -0.23, 5133

239, 152, 0.04, 0.16, 5182

235, 146, -0.08, -0.13, 5230

235, 146, 0.00, 0.00, 5279

195, 156, -0.41, 0.10, 5377

178, 155, -0.35, -0.02, 5425

165, 155, -0.27, 0.00, 5474

161, 154, -0.08, -0.02, 5522

162, 155, 0.02, 0.02, 5571

164, 157, 0.04, 0.04, 5619

172, 155, 0.16, -0.04, 5668

183, 148, 0.23, -0.15, 5716

190, 134, 0.14, -0.28, 5766

196, 123, 0.12, -0.22, 5815

198, 108, 0.04, -0.31, 5863

199, 92, 0.02, -0.33, 5912

198, 94, -0.02, 0.04, 5960

198, 94, 0.00, 0.00, 6009

196, 107, -0.04, 0.27, 6057

192, 122, -0.08, 0.30, 6107

191, 151, -0.02, 0.60, 6155

191, 158, 0.00, 0.14, 6204

194, 170, 0.06, 0.25, 6252

195, 171, 0.02, 0.02, 6301

198, 171, 0.06, 0.00, 6349

206, 166, 0.16, -0.10, 6398

216, 157, 0.20, -0.18, 6448

216, 157, 0.00, 0.00, 6496

169, 156, -0.14, -0.00, 6837

161, 155, -0.17, -0.02, 6885

158, 157, -0.06, 0.04, 6934

158, 156, 0.00, -0.02, 6982

161, 157, 0.06, 0.02, 7031

169, 153, 0.17, -0.08, 7079

178, 140, 0.18, -0.26, 7129

187, 129, 0.19, -0.23, 7177

191, 105, 0.08, -0.49, 7226

196, 98, 0.10, -0.15, 7274

194, 92, -0.04, -0.12, 7323

194, 92, 0.00, 0.00, 7371

196, 100, 0.04, 0.16, 7420

194, 108, -0.04, 0.16, 7470

191, 131, -0.06, 0.48, 7518

189, 153, -0.04, 0.45, 7567

189, 165, 0.00, 0.25, 7615

190, 171, 0.02, 0.12, 7664

190, 172, 0.00, 0.02, 7712

193, 171, 0.06, -0.02, 7761

198, 169, 0.10, -0.04, 7810

205, 157, 0.14, -0.24, 7859

218, 159, 0.27, 0.04, 7907

218, 159, 0.00, 0.00, 7956

169, 161, -0.13, 0.01, 8345

161, 162, -0.16, 0.02, 8394

159, 162, -0.04, 0.00, 8442

161, 163, 0.04, 0.02, 8492

166, 163, 0.10, 0.00, 8540

174, 156, 0.16, -0.14, 8589

181, 145, 0.14, -0.22, 8638

186, 130, 0.10, -0.31, 8686

190, 121, 0.08, -0.18, 8735

193, 101, 0.06, -0.42, 8783

195, 93, 0.04, -0.16, 8833

196, 94, 0.02, 0.02, 8881

196, 94, 0.00, 0.00, 8930

196, 106, 0.00, 0.25, 8978

194, 126, -0.04, 0.42, 9026

191, 143, -0.06, 0.35, 9075

191, 165, 0.00, 0.46, 9123

192, 172, 0.02, 0.14, 9172

193, 174, 0.02, 0.04, 9221

194, 174, 0.02, 0.00, 9270

196, 172, 0.04, -0.04, 9319

203, 161, 0.15, -0.23, 9367

217, 160, 0.29, -0.02, 9416

217, 160, 0.00, 0.00, 9464

191, 151, -0.09, -0.03, 9756

172, 154, -0.39, 0.06, 9805

161, 154, -0.22, 0.00, 9854

157, 153, -0.08, -0.02, 9903

157, 153, 0.00, 0.00, 9952

161, 154, 0.08, 0.02, 10000

170, 151, 0.18, -0.06, 10049

180, 138, 0.21, -0.27, 10097

190, 121, 0.20, -0.35, 10146

190, 121, 0.00, 0.00, 10194

187, 141, -0.01, 0.06, 10535

184, 161, -0.06, 0.40, 10585

182, 169, -0.04, 0.17, 10633

182, 166, 0.00, -0.06, 10682

182, 168, 0.00, 0.04, 10730

184, 166, 0.04, -0.04, 10779

193, 160, 0.19, -0.13, 10827

206, 155, 0.27, -0.10, 10876

218, 144, 0.24, -0.22, 10925

230, 152, 0.24, 0.16, 10974

230, 152, 0.00, 0.00, 11022

195, 152, -0.18, 0.00, 11216

177, 158, -0.37, 0.12, 11265

165, 159, -0.24, 0.02, 11314

161, 158, -0.08, -0.02, 11363

163, 158, 0.04, 0.00, 11411

168, 160, 0.10, 0.04, 11460

174, 159, 0.12, -0.02, 11509

183, 148, 0.19, -0.23, 11557

188, 133, 0.10, -0.30, 11607

191, 122, 0.06, -0.23, 11655

192, 102, 0.02, -0.41, 11704

194, 96, 0.04, -0.13, 11752

194, 93, 0.00, -0.06, 11800

192, 94, -0.04, 0.02, 11849

192, 98, 0.00, 0.08, 11897

